page,brand,model,category,size,space,color,price,source,condition,date,article_number,n_of_reviews,rating,delivery_time
1,APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Black,719.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203371.html,new,2024-04-06,2203371,(25),4.8,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,256 GB,Natural Titanium,1159.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203429.html,new,2024-04-06,2203429,(32),4.6,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,APPLE,iPhone 14 ,Smartphone,6.1,128 GB,Midnight,619.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151025.html,new,2024-04-06,2151025,(12),4.8,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,APPLE,iPhone 15 Pro ,Smartphone,6.1,256 GB,Black Titanium,1051.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203408.html,new,2024-04-06,2203408,(14),4.9,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,256 GB,Black Titanium,1129.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203426.html,new,2024-04-06,2203426,(13),4.9,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Blue,730.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203374.html,new,2024-04-06,2203374,(8),5.0,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 11 (2020) ,Smartphone,6.1,64 GB,Black,349.,https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028715.html,new,2024-04-06,2028715,(67),4.7,Auslieferung in 1-4 Werktagen
1,APPLE,iPhone 15 ,Smartphone,6.1,256 GB,Black,816.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203376.html,new,2024-04-06,2203376,(4),5.0,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 14 ,Smartphone,6.1,128 GB,Purple,619.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151027.html,new,2024-04-06,2151027,(12),4.8,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 13 ,Smartphone,6.1,128 GB,Starlight,529.,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091429.html,new,2024-04-06,2091429,(34),4.7,Auslieferung in bis zu 6 Werktagen
1,XIAOMI,Redmi A2 ,Smartphone,6.52,32 GB,Schwarz,84.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-a2-2178004.html,new,2024-04-06,2178004,(10),4.1,Auslieferung in 1-2 Werktagen
1,XIAOMI,Redmi 13C ,Smartphone,6.74,128 GB,Midnight Black,118.9,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219843.html,new,2024-04-06,2219843,(3),4.7,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,APPLE,iPhone 14 ,Smartphone,6.1,128 GB,Starlight,619.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151026.html,new,2024-04-06,2151026,(24),4.9,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,256 GB,White Titanium,1137.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203427.html,new,2024-04-06,2203427,(9),4.8,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Yellow,699.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203373.html,new,2024-04-06,2203373,(0),,
1,APPLE,iPhone 15 Pro ,Smartphone,6.1,256 GB,White Titanium,1039.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203409.html,new,2024-04-06,2203409,(1),5.0,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,APPLE,iPhone 15 Pro ,Smartphone,6.1,256 GB,Blue Titanium,1047.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203411.html,new,2024-04-06,2203411,(11),4.8,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,SAMSUNG,Galaxy A15 4G ,Smartphone,6.5,128 GB,Blue,174.9,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a15-4g-2221377.html,new,2024-04-06,2221377,(0),,
1,APPLE,iPhone SE ,Smartphone,4.7,128 GB,Midnight,430.95,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2118902.html,new,2024-04-06,2118902,(9),4.4,Auslieferung in 1-4 Werktagen
1,APPLE,iPhone 15 ,Smartphone,6.1,256 GB,Yellow,816.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203379.html,new,2024-04-06,2203379,(0),,Auslieferung in 1-2 Werktagen
1,SAMSUNG,Galaxy A15 4G ,Smartphone,6.5,128 GB,Blue Black,169.9,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a15-4g-2221378.html,new,2024-04-06,2221378,(0),,
1,APPLE,iPhone 11 (2020) ,Smartphone,6.1,128 GB,Black,399.,https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028727.html,new,2024-04-06,2028727,(50),4.5,Auslieferung in 1-4 Werktagen
1,APPLE,iPhone 15 Pro ,Smartphone,6.1,128 GB,Natural Titanium,944.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203405.html,new,2024-04-06,2203405,(11),4.3,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 15 ,Smartphone,6.1,256 GB,Blue,829.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203380.html,new,2024-04-06,2203380,(1),5.0,Auslieferung in 1-2 Werktagen
2,SAMSUNG,Galaxy S23+ ,Smartphone,6.6,256 GB,Phantom Black,729.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167374.html,new,2024-04-06,2167374,(155),4.6,Auslieferung in bis zu 6 Werktagen
2,APPLE,iPhone 15 Pro ,Smartphone,6.1,256 GB,Natural Titanium,1047.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203410.html,new,2024-04-06,2203410,(17),4.0,Auslieferung in 1-2 Werktagen
2,SAMSUNG,Galaxy A55 5G ,Smartphone,6.6,256 GB,Awesome Lilac,479.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237092.html,new,2024-04-06,2237092,(1),5.0,Auslieferung in bis zu 6 Werktagen
2,NOTHING,phone (2a) ,Smartphone,6.7,128 GB,Weiss,329.95,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223932.html,new,2024-04-06,2223932,(0),,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
2,SAMSUNG,Galaxy S23 ,Smartphone,6.1,128 GB,Phantom Black,598.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167353.html,new,2024-04-06,2167353,(271),4.4,Auslieferung in bis zu 6 Werktagen
2,NOTHING,phone (2a) ,Smartphone,6.7,256 GB,Schwarz,379.9,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223927.html,new,2024-04-06,2223927,(1),5.0,Das Produkt ist online ausverkauft.
2,APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Pink,719.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203372.html,new,2024-04-06,2203372,(7),4.4,Auslieferung in 1-2 Werktagen
2,XIAOMI,Redmi Note 13 5G ,Smartphone,6.67,256 GB,Graphite Black,254.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-5g-2220891.html,new,2024-04-06,2220891,(7),4.9,Auslieferung in bis zu 6 Werktagen
2,SAMSUNG,Galaxy Z Flip5 ,Smartphone,6.7,512 GB,Graphite,899.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-flip5-2193034.html,new,2024-04-06,2193034,(57),4.5,Auslieferung in 1-2 Werktagen
2,SAMSUNG,Galaxy A54 5G ,Smartphone,6.4,128 GB,Awesome Lime,299.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2173979.html,new,2024-04-06,2173979,(309),4.4,"Bestellbar, Auslieferung in 1-2 Werktagen"
2,APPLE,iPhone SE (2022) ,Smartphone,4.7,64 GB,Midnight,383.95,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118897.html,new,2024-04-06,2118897,(8),4.5,Auslieferung in 1-2 Werktagen
2,SAMSUNG,Galaxy A55 5G ,Smartphone,6.6,256 GB,Awesome Navy,479.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237090.html,new,2024-04-06,2237090,(0),,Auslieferung in bis zu 7 Werktagen
2,NOTHING,phone (2a) ,Smartphone,6.7,128 GB,Schwarz,329.95,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223930.html,new,2024-04-06,2223930,(0),,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
2,APPLE,iPhone 11 (2020) ,Smartphone,6.1,128 GB,White,399.,https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028729.html,new,2024-04-06,2028729,(16),4.8,"Bestellbar, Auslieferung in 1-2 Werktagen"
2,APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Green,719.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203375.html,new,2024-04-06,2203375,(3),5.0,Auslieferung in 1-2 Werktagen
2,APPLE,iPhone 15 Pro ,Smartphone,6.1,128 GB,Black Titanium,933.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203403.html,new,2024-04-06,2203403,(28),4.9,Auslieferung in 1-2 Werktagen
2,APPLE,iPhone 13 ,Smartphone,6.1,128 GB,Blue,529.,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091439.html,new,2024-04-06,2091439,(3),4.7,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
2,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,512 GB,Natural Titanium,1360.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203433.html,new,2024-04-06,2203433,(6),5.0,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
2,NOTHING,phone (2a) ,Smartphone,6.7,256 GB,Weiss,379.95,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223929.html,new,2024-04-06,2223929,(1),5.0,Das Produkt ist online ausverkauft.
2,XIAOMI,Redmi Note 13 Pro+ 5G ,Smartphone,6.67,512 GB,Midnight Black,413.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-5g-2220879.html,new,2024-04-06,2220879,(4),5.0,Auslieferung in 1-2 Werktagen
2,APPLE,iPhone 15 Pro ,Smartphone,6.1,128 GB,White Titanium,939.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203404.html,new,2024-04-06,2203404,(10),4.9,"Bestellbar, Auslieferung in 1-2 Werktagen"
2,APPLE,iPhone 14 ,Smartphone,6.1,128 GB,Blue,619.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151029.html,new,2024-04-06,2151029,(12),4.8,"Bestellbar, Auslieferung in 1-2 Werktagen"
2,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,512 GB,White Titanium,1393.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203432.html,new,2024-04-06,2203432,(0),,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
2,APPLE,iPhone 13 ,Smartphone,6.1,128 GB,Green,529.,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2118876.html,new,2024-04-06,2118876,(0),,Auslieferung in 1-2 Werktagen
3,SAMSUNG,Galaxy S23 ,Smartphone,6.1,256 GB,Green,694.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167361.html,new,2024-04-06,2167361,(273),4.4,Auslieferung in 1-2 Werktagen
3,SAMSUNG,Galaxy A55 5G ,Smartphone,6.6,128 GB,Awesome Navy,429.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237050.html,new,2024-04-06,2237050,(0),,
3,XIAOMI,Redmi 9A ,Smartphone,6.53,32 GB,Granite Grey,79.9,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-9a-2012628.html,new,2024-04-06,2012628,(17),4.2,Auslieferung in 1-4 Werktagen
3,APPLE,iPhone 15 Plus ,Smartphone,6.7,128 GB,Black,829.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-plus-2203388.html,new,2024-04-06,2203388,(4),3.3,Auslieferung in 1-2 Werktagen
3,APPLE,iPhone 15 Pro ,Smartphone,6.1,512 GB,White Titanium,1256.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203414.html,new,2024-04-06,2203414,(0),,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
3,APPLE,iPhone 13 ,Smartphone,6.1,128 GB,Pink,529.,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091433.html,new,2024-04-06,2091433,(2),5.0,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
3,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,512 GB,Black Titanium,1376.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203431.html,new,2024-04-06,2203431,(5),5.0,Auslieferung in bis zu 7 Werktagen
3,SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,512 GB,Titanium Black,1399.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220733.html,new,2024-04-06,2220733,(715),4.7,Auslieferung in bis zu 6 Werktagen
3,SAMSUNG,Galaxy A55 5G ,Smartphone,6.6,256 GB,Awesome Iceblue,479.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237093.html,new,2024-04-06,2237093,(0),,Auslieferung in bis zu 6 Werktagen
3,SAMSUNG,Galaxy Z Flip5 ,Smartphone,6.7,512 GB,Cream,1118.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-flip5-2193033.html,new,2024-04-06,2193033,(56),4.6,Auslieferung in bis zu 7 Werktagen
3,SAMSUNG,Galaxy A34 5G ,Smartphone,6.6,128 GB,Awesome Graphite,320.95,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a34-5g-2173976.html,new,2024-04-06,,,,
3,SAMSUNG,Galaxy A54 5G ,Smartphone,6.4,128 GB,Awesome Graphite,299.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2173981.html,new,2024-04-06,,,,
3,XIAOMI,Redmi Note 13 5G ,Smartphone,6.67,256 GB,Arctic White,254.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-5g-2220893.html,new,2024-04-06,2220893,(1),5.0,Auslieferung in bis zu 7 Werktagen
3,APPLE,iPhone 15 ,Smartphone,6.1,256 GB,Green,819.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203381.html,new,2024-04-06,2203381,(1),5.0,Auslieferung in 1-2 Werktagen
3,APPLE,iPhone 14 Plus ,Smartphone,6.7,128 GB,Starlight,749.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151041.html,new,2024-04-06,2151041,(5),5.0,Auslieferung in bis zu 7 Werktagen
3,APPLE,iPhone 14 ,Smartphone,6.1,256 GB,Blue,749.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151034.html,new,2024-04-06,2151034,(7),5.0,Auslieferung in 1-2 Werktagen
3,APPLE,iPhone 13 ,Smartphone,6.1,256 GB,Starlight,629.,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091353.html,new,2024-04-06,2091353,(6),4.8,Auslieferung in 1-4 Werktagen
3,NOTHING,phone (2) ,Smartphone,6.7,256 GB,Grau,549.,https://www.mediamarkt.ch/de/product/_nothing-phone-2-2189932.html,new,2024-04-06,2189932,(3),4.3,Auslieferung in 1-2 Werktagen
3,NOTHING,phone (2) ,Smartphone,6.7,256 GB,Weiss,549.,https://www.mediamarkt.ch/de/product/_nothing-phone-2-2189933.html,new,2024-04-06,2189933,(1),5.0,Auslieferung in 1-4 Werktagen
3,MOTOROLA,Moto G54 5G ,Smartphone,6.5,256 GB,Midnight Blue,171.95,https://www.mediamarkt.ch/de/product/_motorola-moto-g54-5g-2216177.html,new,2024-04-06,2216177,(21),4.9,"Bestellbar, Auslieferung in 1-2 Werktagen"
3,SAMSUNG,Galaxy S24+ ,Smartphone,6.7,256 GB,Onyx Black,915.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-2220719.html,new,2024-04-06,2220719,(160),4.5,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
3,SAMSUNG,Galaxy A55 5G ,Smartphone,6.6,256 GB,Awesome Lemon,479.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237094.html,new,2024-04-06,2237094,(0),,Auslieferung in bis zu 6 Werktagen
3,SAMSUNG,Galaxy S24 Ultra ,Smartphone,6.8,256 GB,Titanium Black,1299.-1199.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220737.html,new,2024-04-06,2220737,(715),4.7,Auslieferung in bis zu 6 Werktagen
3,SAMSUNG,Galaxy S23 Ultra ,Smartphone,6.8,256 GB,Phantom Black,899.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167385.html,new,2024-04-06,2167385,(607),4.6,Das Produkt ist online ausverkauft.
4,XIAOMI,Redmi 13C ,Smartphone,6.74,128 GB,Clover Green,133.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219844.html,new,2024-04-06,2219844,(1),4.0,Auslieferung in bis zu 7 Werktagen
4,XIAOMI,Redmi Note 13 4G ,Smartphone,6.67,128 GB,Midnight Black,184.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220885.html,new,2024-04-06,2220885,(7),3.7,Auslieferung in 1-2 Werktagen
4,APPLE,iPhone 15 Pro ,Smartphone,6.1,128 GB,Blue Titanium,939.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203407.html,new,2024-04-06,2203407,(18),4.9,Auslieferung in 1-2 Werktagen
4,APPLE,iPhone 15 Pro ,Smartphone,6.1,512 GB,Blue Titanium,1236.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203417.html,new,2024-04-06,2203417,(4),4.8,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
4,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,256 GB,Blue Titanium,1145.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203430.html,new,2024-04-06,2203430,(15),4.9,"Bestellbar, Auslieferung in 1-2 Werktagen"
4,SAMSUNG,Galaxy A55 5G ,Smartphone,6.6,128 GB,Awesome Iceblue,429.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237049.html,new,2024-04-06,2237049,(0),,Auslieferung in bis zu 10 Werktagen
4,XIAOMI,14 + Electric Scooter 4 Lite Swiss Edition Bundle ,Smartphone,6.36,512 GB,Jade Green,1099.,https://www.mediamarkt.ch/de/product/_xiaomi-14-electric-scooter-4-lite-swiss-edition-bundle-2238859.html,new,2024-04-06,2238859,(0),,Auslieferung in bis zu 7 Werktagen
4,APPLE,iPhone 14 Plus ,Smartphone,6.7,256 GB,Starlight,829.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151046.html,new,2024-04-06,2151046,(3),5.0,Auslieferung in bis zu 7 Werktagen
4,XIAOMI,Redmi A2 ,Smartphone,6.52,32 GB,Hellgrün,88.9,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-a2-2178002.html,new,2024-04-06,2178002,(10),4.5,Aktuell nicht lieferbar und kein Liefertermin vorhanden. Alle Angaben ohne Gewähr.
4,MOTOROLA,Moto G13 ,Smartphone,6.5,128 GB,Matte Charcoal,129.95,https://www.mediamarkt.ch/de/product/_motorola-moto-g13-2180586.html,new,2024-04-06,2180586,(15),5.0,Auslieferung in 1-4 Werktagen
4,MOTOROLA,Moto E13 ,Smartphone,6.5,64 GB,Cosmic Black,99.95,https://www.mediamarkt.ch/de/product/_motorola-moto-e13-2180587.html,new,2024-04-06,2180587,(1),1.0,Auslieferung in 1-4 Werktagen
4,SAMSUNG,Galaxy A25 5G ,Smartphone,6.5,128 GB,Blue Black,259.9,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a25-5g-2216505.html,new,2024-04-06,2216505,(5),4.6,"Bestellbar, Auslieferung in 1-2 Werktagen"
4,APPLE,iPhone 14 ,Smartphone,6.1,256 GB,Midnight,726.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151030.html,new,2024-04-06,2151030,(5),5.0,"Bestellbar, Auslieferung in 1-2 Werktagen"
4,XIAOMI,Redmi Note 13 Pro+ 5G ,Smartphone,6.67,256 GB,Midnight Black,381.95,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-pro-5g-2220882.html,new,2024-04-06,2220882,(0),,Auslieferung in 1-2 Werktagen
4,XIAOMI,Redmi Note 13 4G ,Smartphone,6.67,128 GB,Mint Green,173.9,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220886.html,new,2024-04-06,2220886,(3),4.7,Auslieferung in bis zu 7 Werktagen
4,GOOGLE,Pixel 8 Pro ,Smartphone,6.7,128 GB,Obsidian,921.,https://www.mediamarkt.ch/de/product/_google-pixel-8-pro-2214719.html,new,2024-04-06,2214719,(11),4.5,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
4,SAMSUNG,XCover6 Pro Enterprise Edition ,Smartphone,6.6,128 GB,Schwarz,417.95,https://www.mediamarkt.ch/de/product/_samsung-xcover6-pro-enterprise-edition-2140676.html,new,2024-04-06,2140676,(2),3.0,"Wir bestellen für Sie den Artikel direkt beim Lieferanten. Sobald der Artikel verfügbar ist, werden Sie per E-Mail informiert."
4,SAMSUNG,Galaxy S23 ,Smartphone,6.1,256 GB,Phantom Black,661.,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167365.html,new,2024-04-06,2167365,(273),4.4,Auslieferung in 1-2 Werktagen
